sk_empresas,cnpj_empresa,flag_matriz,nm_razao_social,cd_natureza_juridica,de_natureza_juridica,de_situacao,de_classif_natureza_juridica,de_saude_tributaria,de_nivel_atividade,registro_antt,flag_optante_simples,flag_optante_simei
"D,<\+@:N4P!6CCL$NA$D00",90400888251650,NAO,BANCO SANTANDER BRASIL SA,2046,SOCIEDADE ANONIMA ABERTA,ATIVA,PRIVADO,VERDE,MEDIA,SIM,NAO,NAO
B/*TA4C0Z39VF^@D#D%U!#,12254288000100,SIM,CASA DO GOL LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,LARANJA,MEDIA,SIM,NAO,NAO
M*CY0U)1+F.8M<\$T\;/X(,4226709000160,SIM,COMERCIAL M&M YAMASHITA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,MEDIA,SIM,NAO,NAO
"BYWWTM(/<;4OD*K\]YST'+",16679748000100,SIM,GRUPO CIENTIFICO RAMATIS,3999,ASSOCIACAO PRIVADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
"LQ=5&MEK1:D[19Y""W@D:U/",7793444000170,SIM,KAUS & KAUS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
"H+S#JU_""2)6L_.VFIX.?!.",3220549000180,SIM,ROMERIO RODRIGUES LEITE ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,NAO
DF+>(#?IJY=M60!5*DZ9M-,1687525000100,SIM,ASSOCIACAO DE PRESTACAO DE SERVICOS REAL,3999,ASSOCIACAO PRIVADA,ATIVA,PRIVADO,AZUL,MEDIA,SIM,NAO,NAO
"MUH[6NZC)]V:""VE-1%B)B)",11772974000100,SIM,G MARIA DE AMORIM ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,ALTA,SIM,SIM,NAO
FX!\I3PTY;/1L.9GZ1![W.,5850538000290,NAO,TECOPY COPIADORA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERMELHO,BAIXA,SIM,NAO,NAO
"N""""Z)5P5@@,'N`>%H&(PL)",86396371000150,SIM,LIVRARIA DA SE INDUSTRIA E COMERCIO LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,NAO
"G,\4#:;$5M+Y)+ADH.^6>#",52792652000100,SIM,CONTINENTAL CIRCUS MOTOCICLETAS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
"L'-V//9B0HXHV4N9II4ZJ*",15818386000110,SIM,ELEICAO 2012 COMITE FINANCEIRO SP PARA VEREADOR PT MENDONCA,3999,ASSOCIACAO PRIVADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"O=WI3LY.""S*%E_4)&/S\Y$",1498181000190,SIM,COMERCIAL DE PNEUS WENDT LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,NAO
DK*4HRZ*?!W<-$^$U!!*[.,80495856000700,NAO,RPS FOTOGRAFIAS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERMELHO,BAIXA,SIM,NAO,NAO
MG[Y#S?RX&/N&A-OT<5&@#,2186486000120,SIM,MOACIR LUIZ DA SILVA VARGAS ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,LARANJA,BAIXA,SIM,SIM,NAO
LYO8FRM62AI?3^C5Y0U=#*,65070146000230,NAO,BAR E LANCHONETE PAYSAGE LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
"E$?<?ZP+6977E/J""Q2!&E/",2053352000130,SIM,AGILIS MOTOCICLE LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,LARANJA,MEDIA,SIM,NAO,NAO
"P""K]YR8.!5YZS)BGC]_!4""",6319255001170,NAO,PG DOIS AGRICOLA COMERCIAL LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
"GF0/1,_(@TE$<OYR!!5^I.",10886199000150,SIM,VALFRE SOCIEDADE INDIVIDUAL DE ADVOCACIA EIRELI,2313,EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA SIMPLES,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,NAO
KLZ5]?YB2VOB.Z#P+/*5<$,12019359000190,SIM,PUNHO FORTE PRESTADORA DE SERVIOS LTDA ME,2240,SOCIEDADE SIMPLES LIMITADA,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
"CH=&YE)D/+UJ)^%'76)_#*",6216178000150,SIM,CONSTRUTORA E PAVIMENTACAO LAGO DOURADO LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,MEDIA,SIM,NAO,NAO
"I(;$T(H(BF;,W_R9Y^P;(!",12459122000120,SIM,RICARDO JOSE DA ROCHA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,MEDIA,SIM,SIM,SIM
"E0Q7L`B/X;XR%]A@VAPD'*",10532571000120,SIM,SAULO FERNANDO GATO SCRIBONI,4120,PRODUTOR RURAL PESSOA FISICA,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
P@>+8QI=<_PG+<:-QE:U4!,11163415000100,SIM,INSTITUTO JULIO ARA DE ASSISTENCIA MEDICA LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,ALTA,SIM,NAO,NAO
"LU$^LBZ@9A7UYMSZ\B#'C-",20963351002230,NAO,DIOCESE DE ITABIRA,3220,ORGANIZACAO RELIGIOSA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
"AKB-7,AGD9/AB/T`7_W5E-",55055743000150,SIM,CONDOMINIO ABC SHOPPING CENTER,3999,ASSOCIACAO PRIVADA,ATIVA,PRIVADO,VERMELHO,MEDIA,SIM,NAO,NAO
"K/BXG""J/^3F1);>ZB!FH1+",11199599000150,SIM,LUSCO FUSCO FILMES EPP LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,MEDIA,SIM,SIM,NAO
"P<F$!+N+I""0*""<&_ZIK,+&",9445384000120,SIM,S DE SENA FERREIRA ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,NAO
"NITUK,RR]3+)/J@'+=%MA#",87301180000120,SIM,ELIAR HOFSTATTER ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,LARANJA,MEDIA,SIM,NAO,NAO
I]\&`LC$(E*0A]<;CE6>X!,8739568000130,SIM,PA ADMINISTRADORA DE BENS E PARTICIPACOES LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
"MQ@-UOHF//:<&,'`:9UTX&",4500550000120,SIM,O F DE OLIVEIRA ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,LARANJA,MEDIA,SIM,NAO,NAO
"JI*W'=JER@=EQNL_B1&S\$",12810402000130,SIM,SILVANI PRATES DOS SANTOS ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,BAIXA,SIM,SIM,NAO
"IF2ECU""TO#TKZ""Y>#PG\=,",5410317000110,SIM,HYDROLAB ENGENHARIA E CONSULTORIA ME SS,2232,SOCIEDADE SIMPLES PURA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"JI:PF&1^*\PU/8:""F/WJO*",12223579000130,SIM,WORK TAX SOLUCAO EMPRESARIAL LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,MEDIA,SIM,SIM,NAO
"C`\6_U)SDOV1""/?+W=""I@$",96617865000170,SIM,TOSHIO TATSUMI MARACAI ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,MEDIA,SIM,NAO,NAO
BW3`D-662+PM7L>BO/8SS-,8047579000150,SIM,ILSA ALICE MULLER OLIVEIRA,4120,PRODUTOR RURAL PESSOA FISICA,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
"B`O$O9VBF<@*1<5R7_I`',",9873296000120,SIM,ELEICAO 2008 JOAO BATISTA SILVA DE SOUZA VEREADOR,4090,CANDIDATO A CARGO POLITICO ELETIVO,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"K4J?O,@L`.L@XW>U7MU/&&",8641806000170,SIM,AFM MODALIDADE LOTERICA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"O`2EZ*5K`:[=3_EQS""\)E.",9214498000160,SIM,O BARISTA CAFE LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"IA=JD""D<:ZK%<]/G&FG.--",12690066000130,SIM,CLAUDENOR LEMOS DOS SANTOS & CIA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,ALTA,SIM,NAO,NAO
"N4KD&])*C&*G97W!B'B&0'",7605227000100,SIM,MARVELISE MULER DE OLIVEIRA & CIA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
IK5#\(M#=N7LW-ZD]]L;>(,94409778000100,SIM,O WEHRMANN E CIA LTDA M E ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,LARANJA,BAIXA,SIM,NAO,NAO
M>(99C&3/KH@E2O`#]#V;&,21081120000130,SIM,CARTORIO DO REGISTRO CIVIL DE NICOLANDIA,3034,SERVICO NOTARIAL E REGISTRAL CARTORIO,ATIVA,PRIVADO,LARANJA,MEDIA,SIM,NAO,NAO
"E>M3=K<\7+G1Q%*G\(WDC,",77687663000150,SIM,ARTECLASSE ESTOFADOS EIRELI,2305,EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA EMPRESARIA,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,NAO
"F,)H8^Y:];@V<""SKZ8=G',",13103110000120,SIM,MARINETE SILVA PEREIRA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,BAIXA,SIM,SIM,SIM
"DC'B:AUFR,&@A*-'U+2A3+",84630474000450,NAO,L M L EXPORTACAO DE CAFE LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,MEDIA,SIM,NAO,NAO
"FLTW(%6PU8B(#""(?7B&WV&",37224847000160,SIM,AREEIRO COSME & DAMIAO LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,LARANJA,BAIXA,SIM,NAO,NAO
"FHQ6^71$(Y=AM)-:-<H,M-",11971190000100,SIM,SILVANIRA PEREIRA NAZARE MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
"N58[F""4P$TW$36JJ4+V`)'",7244034000170,SIM,CABALA ADMINISTRADORA E CORRETORA DE SEGUROS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,ALTA,SIM,NAO,NAO
"PDHN[^,Y5.V76/7E_`=(F,",12121605000110,SIM,NADIR RODOLFO DE JESUS TOLEDO E OUTRA,4120,PRODUTOR RURAL PESSOA FISICA,ATIVA,PRIVADO,VERDE,MEDIA,SIM,NAO,NAO
"FT9>BO.E'6Z6Y*OHM.@6D%",12708033000170,SIM,JORGE SOARES DE OLIVEIRA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,BAIXA,SIM,SIM,SIM
"EX/L=Z+9;;)_""^(.[!_H7/",62955505281310,NAO,IGREJA DO EVANGELHO QUADRANGULAR,3220,ORGANIZACAO RELIGIOSA,ATIVA,PRIVADO,VERMELHO,MEDIA,SIM,NAO,NAO
"H5J'BQ6(V(=5=\/D2JLC2$",21614193000140,SIM,GARFIG REPRESENTACOES LTDA ME,2240,SOCIEDADE SIMPLES LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"B-(A\@-&3&,Y_D]A75L8P'",5008116000190,SIM,BIG ESFIHA EXPRESS FREGUESIA DO O LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,LARANJA,BAIXA,SIM,NAO,NAO
"C'Y->2/SYMK!VO7NQ&9*>#",7095151000110,SIM,SOCIEDADE EDUCACIONAL JEAN PIAGET LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,LARANJA,MEDIA,SIM,NAO,NAO
F0LB-``E;I36__?K;H[<Y&,15493137000100,SIM,RICARDO PIRES LEAL MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,MEDIA,SIM,SIM,SIM
"N99'Y@'CF\^SE:"".[P%Z/&",9253073000160,SIM,RENATA FERREIRA DA SILVA VESTUARIO ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,MEDIA,SIM,SIM,NAO
"D?YRS%%KA`S/40`+=6""P$/",5266699000150,SIM,VALDIVIA ROSA DOS SANTOS LIMA ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,ALTA,SIM,SIM,NAO
"E[&'""].+NF];N#>@,R(3H#",5312857000160,SIM,BRONZE DESIGN COMERCIO DE PECAS PARA DECORACAO LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"A5&\901D*PQ0,CKR6F9B0""",5421886000160,SIM,BISSOTO & DARIOLI MINIMERCADO LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"DRHH?&HR$J<>1<Z-E5D:)""",42064295000100,SIM,AUTO LOCADORA TRANS REI LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"E+9?K2:,)+HL3F-C;8QFS+",1893515000120,SIM,VITOR A RODRIGUES GAS,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"G`@B5_RR_=V3YJ'QF?%:Z,",15136062000100,SIM,INSTITUTO DE ENSINO E ASSISTENCIA TECNICA ELETRONICA LT,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"G32YNT.EC,KCL`!8TFR`C%",17184201078970,NAO,TELECOMUNICACOES DE MINAS GERAIS SA TELEMIG,2038,SOCIEDADE DE ECONOMIA MISTA,BAIXADA,MISTA,0,INATIVA,SIM,NAO,NAO
"MI""C`IF!,Y-I.P<]-:Q4M!",15136583000150,SIM,ARTUR WATT IRMAO CIA LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"JV8(']@=Z);A.SO6H""X01*",15361199000150,SIM,MAMORE AUTO POSTO LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"NL,WJ0Z83-:?'#NGQ\-0F/",15608045000110,SIM,FERNANDES & FILHOS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"K9C?K\$/(D/X=-<1[""Q\U""",7435464000170,SIM,LUIZ HIPOLITO DOS SANTOS ME,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"JU*K6W#KC:I^Y5(=SU/""%(",8180392000120,SIM,GIOVANNI CIRACI ME,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"LI-OF9A)7VP""PLCOMDJ""L%",2265502000170,SIM,ILDEU DOS SANTOS ABBADIA,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"KB3X-;X7[#""U/5#BMFKD]-",4907539000180,SIM,F DE ASSIS MELO ME,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"E\MPK`N'IQSH#?/7ZY87W(",12537293000120,SIM,GERALDO SIMIAO AZEVEDO ME,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"H0R'$@ND\'W?Y3'YC+,BR&",9437544000190,SIM,H D INFORMATICA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"C;I*'I('G_BQ+5PA<0MHT)",10118122000130,SIM,ELEICAO 2008 COMITE FINANCEIRO MUNICIPAL PARA VEREADOR SP PSDC,3999,ASSOCIACAO PRIVADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
N;E`_*E9/[>1+=MII08T/.,3814359000190,SIM,ITIBAN CONTABILIDADE LTDA ME SC,2240,SOCIEDADE SIMPLES LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"F,5_0%Y-BS[$\'OHH*2`)*",61538567000100,SIM,COPERNOX INOXIDAVEIS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"O&=7?]%,6WCD^?BP4(SZN*",4966436000190,SIM,J DE OLIVEIRA MUNIZ PANIFICADORA ME,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"IUO$S""2N`SE_(/2RAZ!YI&",64624521000100,SIM,ARTHUR PEDRO FERREIRA ASSIS,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"AZ[?-""(<(>*+%+GOT7_!Z%",77365765000150,SIM,ACCACIO MOSCARDI,2135,EMPRESARIO INDIVIDUAL,BAIXADA,PRIVADO,0,INATIVA,SIM,NAO,NAO
"C>9XY`OZSLMJXC/UVPY_K,",326297000180,SIM,MARCI VICENTE PSCHEIDT ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,LARANJA,BAIXA,SIM,NAO,NAO
"JKS""9>8]J-[Y;6ZE?.1@V(",14644627000190,SIM,FRANCISCO ANTONIO CORREA DE APOIO ESCRITORIO ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,NAO
"G,D4\`DRM5=EG)*YL'Q!4!",13629575000110,SIM,MARLENE ALVES DE FREITAS ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
"M$->=JNV&ZN@*O,*!?`.]*",15581916000150,SIM,CLAUDENIR MANOEL DE ARAUJO MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
"L].UK[K8O79&)I!7;),MF#",3471229000100,SIM,MOVEIS PORTUGUES LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,ALTA,SIM,NAO,NAO
"N=6O');W[`:>!4O\U*-PT/",6230514000110,SIM,MERCADAO DE CARNES CACHOEIRINHA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,LARANJA,BAIXA,SIM,SIM,NAO
"E^KM+M);L]58CNV]4>!82""",14894610000190,SIM,JOSIAS ALVES DE CAMPOS MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,MEDIA,SIM,SIM,SIM
"N8UK]B5=*)AN7U""O4@Q=Q+",5438357000170,SIM,IOLANDA CIRINO ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,NAO,NAO
"AAX<N]1<'[,R+VY4H6.WO'",13401477000120,SIM,LAGOA LOTERIAS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,NAO
"E""3F@'?#KMF$<^0C""OZ!.+",72833999000160,SIM,MICHEL GEORGES MICHAELIDES ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,MEDIA,SIM,SIM,NAO
G&9-$KTE^P?[R__N<;LOP!,12481765000170,SIM,GCR COMERCIO DE MERCADORIAS EM GERAL LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,MEDIA,SIM,SIM,NAO
"I/)F\1\,""6Z@M41_]:94D%",11771732000100,SIM,ILHA COMERCIO DE ARTIGOS DE SURF LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,MEDIA,SIM,NAO,NAO
"E_H#D;""T,`^F(E!Q'#`KT""",10441320000130,SIM,PORTAS PRONTAS BARRETO LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,NAO
P9J;@K40*+N5YX%N(7`Q3#,10850466000130,SIM,SG PROJETOS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,VERDE,ALTA,SIM,NAO,NAO
O/%\.:K]9/+U72J^LAOI($,10480447000240,NAO,A R L DE SOUZA ROUPAS ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,VERDE,ALTA,SIM,SIM,NAO
"B,XA^89Q3MIWC<TU+/M.^(",15697292000130,SIM,PET CAO PRODUTOS VETERINARIOS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,AZUL,MEDIA,SIM,NAO,NAO
INF?N8F?Q[7Y!LX4RMBJ?+,15217444000150,SIM,RICARDO FIDELIS MELO ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,ALTA,SIM,SIM,NAO
J%R%Q\X_56%#O#39JH>/4#,15220854000150,SIM,JOAO BATISTA LIMA DA SILVA MEI,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AMARELO,MEDIA,SIM,SIM,SIM
"I<J!:.LP1W_@-1*?DK;]N'",15740742000120,SIM,DIRETORIO DO PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO PMDB DO MUNICIPIO DE NOSSA SENHORA DE LOURDES,3271,ORGAO DE DIRECAO LOCAL DE PARTIDO POLITICO,ATIVA,PUBLICO,AMARELO,MEDIA,SIM,NAO,NAO
G14<HLZ9`>WX+1R5+9D8*0,8216974000380,NAO,ALCIDES DOS SANTOS MOREIRA E OUTRA,4120,PRODUTOR RURAL PESSOA FISICA,ATIVA,PRIVADO,VERDE,MEDIA,SIM,NAO,NAO
"D#Z""5\%X?@VD>E&Z(D]V,&",1995195000110,SIM,BESTWAY LOCACOES E SERVICOS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,ATIVA,PRIVADO,LARANJA,BAIXA,SIM,NAO,NAO
"F,9&6!#NXK!X(D/.ED#DK'",3391792000160,SIM,GEDEAO LOURENCO DE SOUZA ME,2135,EMPRESARIO INDIVIDUAL,ATIVA,PRIVADO,AZUL,ALTA,SIM,NAO,NAO
