chave_fato,flag_matriz,dt_abertura,nm_razao_social,cd_natureza_juridica,de_natureza_juridica,nm_logradouro,nu_logradouro,cd_cep,nm_bairro,nm_municipio,sg_uf,de_situacao,de_classif_natureza_juridica,vl_latitude,vl_longitude,qt_filial,de_saude_tributaria,de_nivel_atividade,registro_antt,flag_optante_simples,flag_optante_simei
5610297000120,SIM,4/24/2003,RECANTO DA MODA CALCADOS E CONFECCOES LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,AVENIDA ESTADO,623,75074590,RECANTO DO SOL,ANAPOLIS,GO,BAIXADA,PRIVADO,"-16,2806113","-48,9319839",,,INATIVA,NÃƒO,NÃƒO,NÃƒO
15044857000180,SIM,2/14/2012,MARIA GILVANIA DE AQUINO MEI,2135,EMPRESARIO INDIVIDUAL,RUA ANTONIO CHICALHONE,218,13290000,JARDIM LAGO AZUL SANTO ANTONIO,LOUVEIRA,SP,ATIVA,PRIVADO,"-23,0864185","-46,9770708",,AMARELO,MEDIA,NÃƒO,SIM,SIM
15028623000140,SIM,2/9/2012,DEBORA PINHEIRO DA SILVA MEI,2135,EMPRESARIO INDIVIDUAL,RUA AMANARU,152,21031590,RAMOS,RIO DE JANEIRO,RJ,ATIVA,PRIVADO,"-22,8492135","-43,2540858",,AMARELO,MEDIA,NÃƒO,SIM,SIM
7297742000170,SIM,2/14/2005,MAURO ODELLI ME,2135,EMPRESARIO INDIVIDUAL,ESTRADA VARGEM GRANDE,115,89135000,VARGEM GRANDE,APIUNA,SC,ATIVA,PRIVADO,"-27,0337085","-49,3872519",,AZUL,BAIXA,NÃƒO,SIM,NÃƒO
15291845000150,SIM,3/29/2012,COMERCIO FASHION BIJU LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,AVENIDA EXPEDITO GARCIA,104,29146200,CAMPO GRANDE,CARIACICA,ES,ATIVA,PRIVADO,"-20,3433882","-40,3875092",,AZUL,ALTA,NÃƒO,SIM,NÃƒO
15090404000190,SIM,2/24/2012,CONFECCOES BG LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,RUA HARROLD LAFFIN,208,89108000,GUARANI MIRIM,MASSARANDUBA,SC,ATIVA,PRIVADO,"-26,6109126","-49,0091505",,VERDE,ALTA,NÃƒO,SIM,NÃƒO
90400888251650,NÃƒO,5/28/2010,BANCO SANTANDER BRASIL SA,2046,SOCIEDADE ANONIMA ABERTA,RUA BATISTA RAFFI,803,13068601,JARDIM APARECIDA,CAMPINAS,SP,ATIVA,PRIVADO,"-22,8525901","-47,1565107",,VERDE,MEDIA,NÃƒO,NÃƒO,NÃƒO
12254288000100,SIM,7/19/2010,CASA DO GOL LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,AVENIDA DOM PEDRO II,3180,30720460,CAICARAS,BELO HORIZONTE,MG,ATIVA,PRIVADO,"-19,9120148","-43,9711978",,LARANJA,MEDIA,NÃƒO,NÃƒO,NÃƒO
4226709000160,SIM,1/5/2001,COMERCIAL M&M YAMASHITA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,AVENIDA DOUTOR GASTAO VIDIGAL CEAGESP,1946,05314000,VILA LEOPOLDINA,SAO PAULO,SP,ATIVA,PRIVADO,"-23,5505199","-46,6333094",,AZUL,MEDIA,NÃƒO,NÃƒO,NÃƒO
16679748000100,SIM,11/14/1973,GRUPO CIENTIFICO RAMATIS,3999,ASSOCIACAO PRIVADA,PRACA RAMATIS,161,31230000,PARQUE RIACHUELO,BELO HORIZONTE,MG,ATIVA,PRIVADO,"-19,8909944","-43,9523488",10.0,VERDE,ALTA,NÃƒO,NÃƒO,NÃƒO
7793444000170,SIM,1/6/2006,KAUS & KAUS LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,RUA ANTONIO SANGOI NETO,156,97035090,JUSCELINO KUBITSCHEK,SANTA MARIA,RS,ATIVA,PRIVADO,"-29,6963563","-53,844565",,AMARELO,MEDIA,NÃƒO,NÃƒO,NÃƒO
3220549000180,SIM,6/15/1999,ROMERIO RODRIGUES LEITE ME,2135,EMPRESARIO INDIVIDUAL,RUA DO COMERCIO,102,63190000,ARAPORANGA,SANTANA DO CARIRI,CE,ATIVA,PRIVADO,"-7,1882638","-39,7376748",,VERDE,ALTA,NÃƒO,SIM,NÃƒO
1687525000100,SIM,2/12/1996,ASSOCIACAO DE PRESTACAO DE SERVICOS REAL,3999,ASSOCIACAO PRIVADA,LOCALIDADE BELA VISTA DO SUL,SN,89300000,BELA VISTA SUL,MAFRA,SC,ATIVA,PRIVADO,"-26,1117326","-49,8065079",,AZUL,MEDIA,NÃƒO,NÃƒO,NÃƒO
11772974000100,SIM,4/6/2010,G MARIA DE AMORIM ME,2135,EMPRESARIO INDIVIDUAL,RUA JOAO SABINO ANDRADE,70A,55602005,MATRIZ,VITORIA DE SANTO ANTAO,PE,ATIVA,PRIVADO,"-8,1138885","-35,2915134",,AZUL,ALTA,NÃƒO,SIM,NÃƒO
5850538000290,NÃƒO,6/30/2009,TECOPY COPIADORA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,RUA CASA DO ATOR,275,04546004,VILA OLIMPIA,SAO PAULO,SP,ATIVA,PRIVADO,"-23,6001428","-46,6763564",,VERMELHO,BAIXA,NÃƒO,NÃƒO,NÃƒO
86396371000150,SIM,3/21/1994,LIVRARIA DA SE INDUSTRIA E COMERCIO LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,AVENIDA AFONSO PENA,1825,38400706,APARECIDA,UBERLANDIA,MG,ATIVA,PRIVADO,"-18,908382","-48,270572",1.0,VERDE,ALTA,NÃƒO,SIM,NÃƒO
52792652000100,SIM,8/11/1983,CONTINENTAL CIRCUS MOTOCICLETAS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,AVENIDA LUCIANINHO MELLI,42,06080010,VILA NOVA OSASCO,OSASCO,SP,ATIVA,PRIVADO,"-23,541913","-46,7788579",,AMARELO,MEDIA,NÃƒO,NÃƒO,NÃƒO
15818386000110,SIM,6/29/2012,ELEICAO 2012 COMITE FINANCEIRO SP PARA VEREADOR PT MENDONCA,3999,ASSOCIACAO PRIVADA,RUA ANGELO PETRONINI,478,15220000,CENTRO,MENDONCA,SP,BAIXADA,PRIVADO,"-21,1900316","-49,580999",,,INATIVA,NÃƒO,NÃƒO,NÃƒO
1498181000190,SIM,10/16/1996,COMERCIAL DE PNEUS WENDT LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,RUA MAJOR ANTONIO T CARDOSO,223,97970000,CENTRO,ROQUE GONZALES,RS,ATIVA,PRIVADO,"-28,1322847","-55,0223579",,VERDE,ALTA,NÃƒO,SIM,NÃƒO
80495856000700,NÃƒO,3/24/1988,RPS FOTOGRAFIAS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,RUA PRINCESA ISABEL,238,89211595,CENTRO,JOINVILLE,SC,ATIVA,PRIVADO,"-26,2993337","-48,844535",,VERMELHO,BAIXA,NÃƒO,NÃƒO,NÃƒO
2186486000120,SIM,9/30/1997,MOACIR LUIZ DA SILVA VARGAS ME,2135,EMPRESARIO INDIVIDUAL,ESTRADA GERAL DO MORRO AGUDO,305,94090120,ITACOLOMI,GRAVATAI,RS,ATIVA,PRIVADO,"-29,8744377","-50,9984135",,LARANJA,BAIXA,NÃƒO,SIM,NÃƒO
65070146000230,NÃƒO,5/20/1997,BAR E LANCHONETE PAYSAGE LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,RUA GAMA CERQUEIRA,323,01539010,CAMBUCI,SAO PAULO,SP,ATIVA,PRIVADO,"-23,5702953","-46,6197298",,AMARELO,MEDIA,NÃƒO,NÃƒO,NÃƒO
2053352000130,SIM,8/11/1997,AGILIS MOTOCICLE LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,RUA POMPILHO GUIMARAES,171,36700000,FABRICA,LEOPOLDINA,MG,ATIVA,PRIVADO,"-21,5368229","-42,6413579",,LARANJA,MEDIA,NÃƒO,NÃƒO,NÃƒO
6319255001170,NÃƒO,2/20/1975,PG DOIS AGRICOLA COMERCIAL LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,LOCALIDADE VILA FATIMA,SN,89638000,INTERIOR,VARGEM,SC,ATIVA,PRIVADO,"-27,4872075","-50,9728528",,VERDE,ALTA,NÃƒO,NÃƒO,NÃƒO
10886199000150,SIM,4/30/2009,VALFRE SOCIEDADE INDIVIDUAL DE ADVOCACIA EIRELI,2313,EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA SIMPLES,RUA PROFESSOR ALMEIDA COUSIN,125,29050565,ENSEADA DO SUA,VITORIA,ES,ATIVA,PRIVADO,"-20,3137737","-40,2941848",,VERDE,ALTA,NÃƒO,SIM,NÃƒO
12019359000190,SIM,5/25/2010,PUNHO FORTE PRESTADORA DE SERVIOS LTDA ME,2240,SOCIEDADE SIMPLES LIMITADA,RUA MARECHAL SEREJO,133,22743380,FREGUESIA JACAREPAGUA,RIO DE JANEIRO,RJ,ATIVA,PRIVADO,"-22,9249284","-43,3431213",,AMARELO,MEDIA,NÃƒO,NÃƒO,NÃƒO
6216178000150,SIM,3/31/2004,CONSTRUTORA E PAVIMENTACAO LAGO DOURADO LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,LOCALIDADE DE LINHA PROGRESSO,SN,85892000,CENTRO,SANTA HELENA,PR,ATIVA,PRIVADO,"-24,8569233","-54,3334256",,AZUL,MEDIA,NÃƒO,NÃƒO,NÃƒO
12459122000120,SIM,8/30/2010,RICARDO JOSE DA ROCHA MEI,2135,EMPRESARIO INDIVIDUAL,RUA MIGUEL GLINKA,,24716072,JARDIM CATARINA,SAO GONCALO,RJ,ATIVA,PRIVADO,"-22,7853052","-43,0051048",,VERDE,MEDIA,NÃƒO,SIM,SIM
10532571000120,SIM,12/12/2008,SAULO FERNANDO GATO SCRIBONI,4120,PRODUTOR RURAL PESSOA FISICA,VIA DE COSMORAMA A AMERICO DE CAMPOS,SN,15530000,ZONA RURAL,COSMORAMA,SP,ATIVA,PRIVADO,"-20,4780031","-49,7779205",,AMARELO,MEDIA,NÃƒO,NÃƒO,NÃƒO
11163415000100,SIM,8/25/2009,INSTITUTO JULIO ARA DE ASSISTENCIA MEDICA LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,RUA JOSE BONIFACIO,180,13560160,CENTRO,SAO CARLOS,SP,ATIVA,PRIVADO,"-22,0268377","-47,8934375",,AZUL,ALTA,NÃƒO,NÃƒO,NÃƒO
20963351002230,NÃƒO,8/16/1978,DIOCESE DE ITABIRA,3220,ORGANIZACAO RELIGIOSA,RUA JOSE HILARIO,SN,35900202,VILA PIEDADE,ITABIRA,MG,ATIVA,PRIVADO,"-19,6284156","-43,220858",,VERDE,ALTA,NÃƒO,NÃƒO,NÃƒO
55055743000150,SIM,3/30/1988,CONDOMINIO ABC SHOPPING CENTER,3999,ASSOCIACAO PRIVADA,AVENIDA BARAO DE MAUA,50,09726000,CHACARA INGLESA,SAO BERNARDO DO CAMPO,SP,ATIVA,PRIVADO,"-23,6911701","-46,5606889",,VERMELHO,MEDIA,NÃƒO,NÃƒO,NÃƒO
11199599000150,SIM,9/21/2009,LUSCO FUSCO FILMES EPP LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,AVENIDA EUSEBIO MATOSO,690,05423000,PINHEIROS,SAO PAULO,SP,ATIVA,PRIVADO,"-23,5714458","-46,697283",,VERDE,MEDIA,NÃƒO,SIM,NÃƒO
9445384000120,SIM,3/13/2008,S DE SENA FERREIRA ME,2135,EMPRESARIO INDIVIDUAL,RUA ANGELO VARELA,9,59507000,CENTRO,ALTO DO RODRIGUES,RN,ATIVA,PRIVADO,"-5,2887251","-36,7603816",3.0,VERDE,ALTA,NÃƒO,SIM,NÃƒO
87301180000120,SIM,1/9/1973,ELIAR HOFSTATTER ME,2135,EMPRESARIO INDIVIDUAL,AVENIDA SENADOR ALBERTO PASQUALINI,193,95900034,CENTRO,LAJEADO,RS,ATIVA,PRIVADO,"-29,4589733","-51,9673123",,LARANJA,MEDIA,NÃƒO,NÃƒO,NÃƒO
8739568000130,SIM,2/23/2007,PA ADMINISTRADORA DE BENS E PARTICIPACOES LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,RUA JOSE ALVES DOS SANTOS FILHO,SN,48370000,CENTRO,ESPLANADA,BA,ATIVA,PRIVADO,"-11,7946561","-37,9435616",,VERDE,ALTA,NÃƒO,NÃƒO,NÃƒO
4500550000120,SIM,6/7/2001,O F DE OLIVEIRA ME,2135,EMPRESARIO INDIVIDUAL,RUA OLAVO BILAC,1,77890000,CENTRO,ANANAS,TO,ATIVA,PRIVADO,"-6,3685511","-48,0697669",,LARANJA,MEDIA,NÃƒO,NÃƒO,NÃƒO
12810402000130,SIM,10/26/2010,SILVANI PRATES DOS SANTOS ME,2135,EMPRESARIO INDIVIDUAL,RUA EGEO BENTO FRATICCELI,311,06550000,JARDIM BOM JESUS,PIRAPORA DO BOM JESUS,SP,ATIVA,PRIVADO,"-23,3969772","-46,9995522",,AMARELO,BAIXA,NÃƒO,SIM,NÃƒO
5410317000110,SIM,11/28/2002,HYDROLAB ENGENHARIA E CONSULTORIA ME SS,2232,SOCIEDADE SIMPLES PURA,RUA ROXO MOREIRA,76,13083590,CIDADE UNIVERSITARIA,CAMPINAS,SP,BAIXADA,PRIVADO,"-22,812618","-47,0761302",,,INATIVA,NÃƒO,NÃƒO,NÃƒO
12223579000130,SIM,6/11/2010,WORK TAX SOLUCAO EMPRESARIAL LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,RUA PINHEIROS,72,09692020,PAULICEIA,SAO BERNARDO DO CAMPO,SP,ATIVA,PRIVADO,"-23,6698174","-46,5853564",,AZUL,MEDIA,NÃƒO,SIM,NÃƒO
96617865000170,SIM,5/3/1993,TOSHIO TATSUMI MARACAI ME,2135,EMPRESARIO INDIVIDUAL,AVENIDA SAO PAULO,503,19840000,CENTRO,MARACAI,SP,ATIVA,PRIVADO,"-22,6105462","-50,6671498",,AZUL,MEDIA,NÃƒO,NÃƒO,NÃƒO
8047579000150,SIM,6/5/2006,ILSA ALICE MULLER OLIVEIRA,4120,PRODUTOR RURAL PESSOA FISICA,FAZENDA SAO JOSE,SN,19804355,AGUA DO MELCHIOR,ASSIS,SP,ATIVA,PRIVADO,"-22,6606373","-50,404369",1.0,AMARELO,MEDIA,NÃƒO,NÃƒO,NÃƒO
9873296000120,SIM,7/8/2008,ELEICAO 2008 JOAO BATISTA SILVA DE SOUZA VEREADOR,4090,CANDIDATO A CARGO POLITICO ELETIVO,RUA A,663,31360390,CONJUNTO CONFISCO,BELO HORIZONTE,MG,BAIXADA,PRIVADO,"-19,997465","-44,0423971",,,INATIVA,NÃƒO,NÃƒO,NÃƒO
8641806000170,SIM,2/7/2007,AFM MODALIDADE LOTERICA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,RUA DOS ILHEUS,10,88010560,CENTRO,FLORIANOPOLIS,SC,BAIXADA,PRIVADO,"-27,5969056","-48,5486711",,,INATIVA,NÃƒO,NÃƒO,NÃƒO
9214498000160,SIM,11/6/2007,O BARISTA CAFE LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,RUA TREZE DE MAIO,200,07071050,VILA GALVAO,GUARULHOS,SP,BAIXADA,PRIVADO,"-23,4556501","-46,5659188",,,INATIVA,NÃƒO,NÃƒO,NÃƒO
12690066000130,SIM,10/6/2010,CLAUDENOR LEMOS DOS SANTOS & CIA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,SITIO MURICI,16,55000000,MURICI,CARUARU,PE,ATIVA,PRIVADO,"-8,2849639","-35,9701874",,AZUL,ALTA,NÃƒO,NÃƒO,NÃƒO
7605227000100,SIM,9/19/2005,MARVELISE MULER DE OLIVEIRA & CIA LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,AVENIDA GETULIO VARGAS,1268,85570000,CENTRO,SAO JOAO,PR,BAIXADA,PRIVADO,"-25,8335554","-52,7304154",,,INATIVA,NÃƒO,NÃƒO,NÃƒO
94409778000100,SIM,1/2/1992,O WEHRMANN E CIA LTDA M E ME,2062,SOCIEDADE EMPRESARIA LIMITADA,RUA JAGUARI,723,90820180,SANTA TEREZA,PORTO ALEGRE,RS,ATIVA,PRIVADO,"-30,0875704","-51,2356869",,LARANJA,BAIXA,NÃƒO,NÃƒO,NÃƒO
21081120000130,SIM,2/5/1981,CARTORIO DO REGISTRO CIVIL DE NICOLANDIA,3034,SERVICO NOTARIAL E REGISTRAL CARTORIO,RUA JOSE NICOLINI,8,35235000,NICOLANDIA,RESPLENDOR,MG,ATIVA,PRIVADO,"-19,3244066","-41,2513767",,LARANJA,MEDIA,NÃƒO,NÃƒO,NÃƒO
77687663000150,SIM,10/31/1983,ARTECLASSE ESTOFADOS EIRELI,2305,EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA EMPRESARIA,RODOVIA BR 376,3475,86975000,PARQUE INDUSTRIAL,MANDAGUARI,PR,ATIVA,PRIVADO,"-23,5259717","-51,6790774",,VERDE,ALTA,NÃƒO,SIM,NÃƒO
13103110000120,SIM,1/13/2011,MARINETE SILVA PEREIRA MEI,2135,EMPRESARIO INDIVIDUAL,AVENIDA ADOLFO PINHEIRO,3520,04734003,SANTO AMARO,SAO PAULO,SP,ATIVA,PRIVADO,"-23,6317575","-46,6913253",,AMARELO,BAIXA,NÃƒO,SIM,SIM
84630474000450,NÃƒO,3/29/1994,L M L EXPORTACAO DE CAFE LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,AVENIDA F A,150,76970000,SAO FILIPE,PIMENTA BUENO,RO,ATIVA,PRIVADO,"-11,6821425","-61,1765191",,VERDE,MEDIA,NÃƒO,NÃƒO,NÃƒO
37224847000160,SIM,9/11/1992,AREEIRO COSME & DAMIAO LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,RODOVIA BR 163,SN,79440000,ZONA RURAL,JARAGUARI,MS,ATIVA,PRIVADO,"-20,7683924","-54,5282522",,LARANJA,BAIXA,NÃƒO,NÃƒO,NÃƒO
11971190000100,SIM,5/20/2010,SILVANIRA PEREIRA NAZARE MEI,2135,EMPRESARIO INDIVIDUAL,RUA SAPOPEMBA,14B,02859140,JARDIM VITORIA REGIA ZONA NORTE,SAO PAULO,SP,ATIVA,PRIVADO,"-23,4383937","-46,7079522",,AMARELO,MEDIA,NÃƒO,SIM,SIM
7244034000170,SIM,2/3/2005,CABALA ADMINISTRADORA E CORRETORA DE SEGUROS LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,AVENIDA DA PENHA,570,29055131,PRAIA DO CANTO,VITORIA,ES,ATIVA,PRIVADO,"-20,3058891","-40,2963769",,AZUL,ALTA,NÃƒO,NÃƒO,NÃƒO
12121605000110,SIM,6/21/2010,NADIR RODOLFO DE JESUS TOLEDO E OUTRA,4120,PRODUTOR RURAL PESSOA FISICA,SITIO SAO JOSE,SN,18230000,BOA VISTA,SAO MIGUEL ARCANJO,SP,ATIVA,PRIVADO,"-23,8888022","-47,9811739",,VERDE,MEDIA,NÃƒO,NÃƒO,NÃƒO
12708033000170,SIM,10/21/2010,JORGE SOARES DE OLIVEIRA MEI,2135,EMPRESARIO INDIVIDUAL,AVENIDA JOAO PEREIRA DE VARGAS,2884,93230210,NOVA SAPUCAIA,SAPUCAIA DO SUL,RS,ATIVA,PRIVADO,"-29,8450304","-51,1373736",,AMARELO,BAIXA,NÃƒO,SIM,SIM
62955505281310,NÃƒO,11/22/1988,IGREJA DO EVANGELHO QUADRANGULAR,3220,ORGANIZACAO RELIGIOSA,RUA RADIALISTA M SOBRINHO,95,30001970,CEU AZUL II,BELO HORIZONTE,MG,ATIVA,PRIVADO,"-19,8122294","-44,0050075",,VERMELHO,MEDIA,NÃƒO,NÃƒO,NÃƒO
21614193000140,SIM,12/13/1985,GARFIG REPRESENTACOES LTDA ME,2240,SOCIEDADE SIMPLES LIMITADA,RUA CARDEAL STEPINAC,592,31170220,CIDADE NOVA,BELO HORIZONTE,MG,BAIXADA,PRIVADO,"-19,8868188","-43,924144",,,INATIVA,NÃƒO,NÃƒO,NÃƒO
5008116000190,SIM,11/22/2001,BIG ESFIHA EXPRESS FREGUESIA DO O LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,AVENIDA ITABERABA,3623,02739000,VILA MARACANA,SAO PAULO,SP,ATIVA,PRIVADO,"-23,4778099","-46,6820484",,LARANJA,BAIXA,NÃƒO,NÃƒO,NÃƒO
7095151000110,SIM,4/13/1983,SOCIEDADE EDUCACIONAL JEAN PIAGET LTDA ME,2062,SOCIEDADE EMPRESARIA LIMITADA,RUA CORONEL MUNDICO SA,222,64500000,CENTRO,OEIRAS,PI,ATIVA,PRIVADO,"-7,0136487","-42,1322099",,LARANJA,MEDIA,NÃƒO,NÃƒO,NÃƒO
15493137000100,SIM,5/8/2012,RICARDO PIRES LEAL MEI,2135,EMPRESARIO INDIVIDUAL,RUA DONA ZULMIRA,498,90830240,CAVALHADA,PORTO ALEGRE,RS,ATIVA,PRIVADO,"-30,0956211","-51,2272425",,VERDE,MEDIA,NÃƒO,SIM,SIM
9253073000160,SIM,11/14/2007,RENATA FERREIRA DA SILVA VESTUARIO ME,2135,EMPRESARIO INDIVIDUAL,RUA ALVARES AZEVEDO,190,04671040,VILA SOFIA,SAO PAULO,SP,ATIVA,PRIVADO,"-23,657769","-46,693659",,AZUL,MEDIA,NÃƒO,SIM,NÃƒO
5266699000150,SIM,8/26/2002,VALDIVIA ROSA DOS SANTOS LIMA ME,2135,EMPRESARIO INDIVIDUAL,RUA LUIZ VIANA,5,45265000,CENTRO,CAETANOS,BA,ATIVA,PRIVADO,"-14,3354678","-40,9046493",,AZUL,ALTA,NÃƒO,SIM,NÃƒO
5312857000160,SIM,9/11/2002,BRONZE DESIGN COMERCIO DE PECAS PARA DECORACAO LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,RUA GUARUJA,1,14090283,JARDIM PAULISTANO,RIBEIRAO PRETO,SP,BAIXADA,PRIVADO,"-21,1839696","-47,7938219",,,INATIVA,NÃƒO,NÃƒO,NÃƒO
5421886000160,SIM,12/3/2002,BISSOTO & DARIOLI MINIMERCADO LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,AVENIDA BERNARDINO DE CAMPOS,12,13900400,CENTRO,AMPARO,SP,BAIXADA,PRIVADO,"-22,7055965","-46,7693964",,,INATIVA,NÃƒO,NÃƒO,NÃƒO
42064295000100,SIM,11/18/1992,AUTO LOCADORA TRANS REI LTDA,2062,SOCIEDADE EMPRESARIA LIMITADA,AVENIDA JOAO DURVAL CARNEIRO,SN,48970000,RODOVIARIO,SENHOR DO BONFIM,BA,BAIXADA,PRIVADO,"-10,4546513","-40,1819714",,,INATIVA,NÃƒO,NÃƒO,NÃƒO
1893515000120,SIM,5/27/1997,VITOR A RODRIGUES GAS,2135,EMPRESARIO INDIVIDUAL,RUA SAOA PAULO,220,86935000,CENTRO,LUNARDELLI,PR,BAIXADA,PRIVADO,"-24,0778289","-51,7418756",,,INATIVA,NÃƒO,NÃƒO,NÃƒO
15136062000100,SIM,9/23/1986,INSTITUTO DE ENSINO E ASSISTENCIA TECNICA ELETRONICA LT,2062,SOCIEDADE EMPRESARIA LIMITADA,RUA DOS BANDEIRANTES,125,40260120,MATATU DE BROTAS,SALVADOR,BA,BAIXADA,PRIVADO,"-12,9726504","-38,4938111",,,INATIVA,NÃƒO,NÃƒO,NÃƒO
17184201078970,NÃƒO,6/20/1986,TELECOMUNICACOES DE MINAS GERAIS SA TELEMIG,2038,SOCIEDADE DE ECONOMIA MISTA,RUA QUINTINO MOREIRA,12,35774000,,PARAOPEBA,MG,BAIXADA,MISTA,"-19,2760428","-44,405245",,,INATIVA,NÃƒO,NÃƒO,NÃƒO
