sk_cnae,cnpj_cnae,cod_ordem,cod_ramo,desc_ramo,chave_cnae
"AKB-7,AGD9/AB/T`7_W5E-",55055743000150,0,9430800,ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE,94
"K/BXG""J/^3F1);>ZB!FH1+",11199599000150,0,5911102,"ALUGUEL DE OUTRAS MAQUINAS E EQUIPAMENTOS COMERCIAIS E INDUSTRIAIS NAO ESPECIFICADOS ANTERIORMENTE, SEM OPERADOR",59
"P<F$!+N+I""0*""<&_ZIK,+&",09445384000120,0,4773300,COMERCIO VAREJISTA DE ARTIGOS MEDICOS E ORTOPEDICOS,47
"NITUK,RR]3+)/J@'+=%MA#",87301180000120,0,6920601,ATIVIDADES DE CONTABILIDADE,69
I]\&`LC$(E*0A]<;CE6>X!,08739568000130,0,6822600,GESTAO E ADMINISTRACAO DA PROPRIEDADE IMOBILIARIA,68
"MQ@-UOHF//:<&,'`:9UTX&",04500550000120,0,4712100,"COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS",47
"JI*W'=JER@=EQNL_B1&S\$",12810402000130,0,4744002,COMERCIO VAREJISTA DE MADEIRA E ARTEFATOS,47
"IF2ECU""TO#TKZ""Y>#PG\=,",05410317000110,0,7112000,SERVICOS DE ENGENHARIA,71
"JI:PF&1^*\PU/8:""F/WJO*",12223579000130,0,8211300,SERVICOS COMBINADOS DE ESCRITORIO E APOIO ADMINISTRATIVO,82
"C`\6_U)SDOV1""/?+W=""I@$",96617865000170,0,4729601,TABACARIA,47
BW3`D-662+PM7L>BO/8SS-,08047579000150,0,111302,CULTIVO DE MILHO,1
"IA=JD""D<:ZK%<]/G&FG.--",12690066000130,0,4321500,INSTALACAO E MANUTENCAO ELETRICA,43
IK5#\(M#=N7LW-ZD]]L;>(,94409778000100,0,4729601,TABACARIA,47
M>(99C&3/KH@E2O`#]#V;&,21081120000130,0,6912500,CARTORIOS,69
"E>M3=K<\7+G1Q%*G\(WDC,",77687663000150,0,3101200,COMERCIO VAREJISTA DE MOVEIS,31
"F,)H8^Y:];@V<""SKZ8=G',",13103110000120,0,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,47
"DC'B:AUFR,&@A*-'U+2A3+",84630474000450,0,4623109,COMERCIO ATACADISTA DE ALIMENTOS PARA ANIMAIS,46
"FLTW(%6PU8B(#""(?7B&WV&",37224847000160,0,4649499,"COMERCIO ATACADISTA DE OUTRAS MAQUINAS E EQUIPAMENTOS NAO ESPECIFICADOS ANTERIORMENTE, PARTES E PECAS",46
"FHQ6^71$(Y=AM)-:-<H,M-",11971190000100,0,9602502,ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA,96
"N58[F""4P$TW$36JJ4+V`)'",07244034000170,0,6622300,"CORRETORES E AGENTES DE SEGUROS, DE PLANOS DE PREVIDENCIA COMPLEMENTAR E DE SAUDE",66
"PDHN[^,Y5.V76/7E_`=(F,",12121605000110,0,119999,CULTIVO DE OUTRAS PLANTAS DE LAVOURA TEMPORARIA NAO ESPECIFICADAS ANTERIORMENTE,1
"FT9>BO.E'6Z6Y*OHM.@6D%",12708033000170,0,4520003,COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES,45
"EX/L=Z+9;;)_""^(.[!_H7/",62955505281310,0,9491000,ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS,94
"H5J'BQ6(V(=5=\/D2JLC2$",21614193000140,0,6399200,"AGENCIAMENTO DE PROFISSIONAIS PARA ATIVIDADES ESPORTIVAS, CULTURAIS E ARTISTICAS",63
"B-(A\@-&3&,Y_D]A75L8P'",05008116000190,0,5611203,"LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES",56
"C'Y->2/SYMK!VO7NQ&9*>#",07095151000110,0,8512100,EDUCACAO INFANTIL  PREESCOLA,85
F0LB-``E;I36__?K;H[<Y&,15493137000100,0,9529102,CHAVEIROS,95
"N99'Y@'CF\^SE:"".[P%Z/&",09253073000160,0,1340599,"OUTROS SERVICOS DE ACABAMENTO EM FIOS, TECIDOS, ARTEFATOS TEXTEIS E PECAS DO VESTUARIO",13
"D?YRS%%KA`S/40`+=6""P$/",05266699000150,0,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,47
"E\MPK`N'IQSH#?/7ZY87W(",12537293000120,0,1412602,"CONFECCAO, SOB MEDIDA, DE PECAS DO VESTUARIO, EXCETO ROUPAS INTIMAS",14
"H0R'$@ND\'W?Y3'YC+,BR&",09437544000190,0,4751200,COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA,47
"C>9XY`OZSLMJXC/UVPY_K,",00326297000180,0,4711301,"COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  HIPERMERCADOS",47
"JKS""9>8]J-[Y;6ZE?.1@V(",14644627000190,0,8211300,SERVICOS COMBINADOS DE ESCRITORIO E APOIO ADMINISTRATIVO,82
"G,D4\`DRM5=EG)*YL'Q!4!",13629575000110,0,4399101,ADMINISTRACAO DE OBRAS,43
"M$->=JNV&ZN@*O,*!?`.]*",15581916000150,0,1352900,FABRICACAO DE ARTEFATOS DE TAPECARIA,13
"L].UK[K8O79&)I!7;),MF#",03471229000100,0,4754701,COMERCIO VAREJISTA DE MOVEIS,47
"N=6O');W[`:>!4O\U*-PT/",06230514000110,0,4722901,COMERCIO VAREJISTA DE CARNES  ACOUGUES,47
"E^KM+M);L]58CNV]4>!82""",14894610000190,0,4723700,COMERCIO VAREJISTA DE BEBIDAS,47
"N8UK]B5=*)AN7U""O4@Q=Q+",05438357000170,0,4754701,COMERCIO VAREJISTA DE MOVEIS,47
"AAX<N]1<'[,R+VY4H6.WO'",13401477000120,0,4751200,CASAS LOTERICAS,47
"E""3F@'?#KMF$<^0C""OZ!.+",72833999000160,0,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,47
G&9-$KTE^P?[R__N<;LOP!,12481765000170,0,4729602,"COMERCIO VAREJISTA DE COSMETICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL",47
"I/)F\1\,""6Z@M41_]:94D%",11771732000100,0,4763602,COMERCIO VAREJISTA DE ARTIGOS ESPORTIVOS,47
"E_H#D;""T,`^F(E!Q'#`KT""",10441320000130,0,1622602,FABRICACAO DE ESQUADRIAS DE MADEIRA E DE PECAS DE MADEIRA PARA INSTALACOES INDUSTRIAIS E COMERCIAIS,16
P9J;@K40*+N5YX%N(7`Q3#,10850466000130,0,3321000,ATIVIDADES TECNICAS RELACIONADAS A ENGENHARIA E ARQUITETURA NAO ESPECIFICADAS ANTERIORMENTE,33
O/%\.:K]9/+U72J^LAOI($,10480447000240,0,4755502,COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO,47
"B,XA^89Q3MIWC<TU+/M.^(",15697292000130,0,4771704,COMERCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMACAO,47
INF?N8F?Q[7Y!LX4RMBJ?+,15217444000150,0,1066000,COMERCIO VAREJISTA DE MEDICAMENTOS VETERINARIOS,10
J%R%Q\X_56%#O#39JH>/4#,15220854000150,0,1622699,FABRICACAO DE OUTROS ARTIGOS DE CARPINTARIA PARA CONSTRUCAO,16
"I<J!:.LP1W_@-1*?DK;]N'",15740742000120,0,9492800,ATIVIDADES DE ORGANIZACOES POLITICAS,94
G14<HLZ9`>WX+1R5+9D8*0,08216974000380,0,131800,CULTIVO DE LARANJA,1
"D#Z""5\%X?@VD>E&Z(D]V,&",01995195000110,0,4930201,"TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, MUNICIPAL",49
"F,9&6!#NXK!X(D/.ED#DK'",03391792000160,0,4921301,TRANSPORTE ESCOLAR,49
L&]-$8\+M._BSB#(FU>$V/,08457794000390,0,111302,CULTIVO DE MILHO,1
"PHFN6HJ(`><BQ`E<O:""8:$",14222846000180,0,4763602,ATIVIDADES DE CONDICIONAMENTO FISICO,47
"D#0.>*XQ#@2,B9TMTENR,'",07669934000160,0,4617600,"REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE PRODUTOS ALIMENTICIOS, BEBIDAS E FUMO",46
HFC@>H>_`1C;35#A61&>/*,06137179000100,0,6399200,"AGENCIAMENTO DE PROFISSIONAIS PARA ATIVIDADES ESPORTIVAS, CULTURAIS E ARTISTICAS",63
G69U1@F;H1J%T[[9!XD1_(,01387360000150,0,8112500,CONDOMINIOS PREDIAIS,81
LJ/HE0\-2#;B8*M_-%WC--,09545298000190,0,9492800,ATIVIDADES DE ORGANIZACOES POLITICAS,94
"FBF?(U6@W-*1!.F.SBI,F#",40484867000850,0,4711302,"COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  SUPERMERCADOS",47
HCDT3Q^]U3VEU`5\X`1Y1/,48346043000150,0,4771701,"COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS, SEM MANIPULACAO DE FORMULAS",47
"GVH7D""!OTZLUZ6JLF>A'=0",13567044000140,0,5611201,RESTAURANTES E SIMILARES,56
"NE<;LX&W2""W17X68U9+2[&",13598884000170,0,4754701,COMERCIO VAREJISTA DE MOVEIS,47
"CCR:OM1CA*+P8_OJ`I_,1.",04056122000150,0,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,47
"L!^CZ2&)CJ&SQRCAH]!@I,",04841694000140,0,4511102,"COMERCIO A VAREJO DE AUTOMOVEIS, CAMIONETAS E UTILITARIOS USADOS",45
"A$EN)7)Y=.&BD7'=*9?1F(",66508078000120,0,8112500,CONDOMINIOS PREDIAIS,81
"FMWC[=@"";E)YP`(HY]64H0",11726294000150,0,4744001,COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO,47
F8*R:=E;V$^`ZA-!MLRM]&,11959342000150,0,4755503,"COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO",47
"KTO9KA?R&V\.+(,X!0(/L""",34481390000180,0,1351100,FABRICACAO DE ARTEFATOS TEXTEIS PARA USO DOMESTICO,13
O<1F\*QC-@<YW:7KJMQWL#,12555119000100,0,4712100,COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL,47
"A.!'=N\D@`W&BIW^5'VH$*",07907566000140,0,7312200,"AGENCIAMENTO DE ESPACOS PARA PUBLICIDADE, EXCETO EM VEICULOS DE COMUNICACAO",73
"EM""OHH$^=G2F\NV6XDJP*+",01682355000170,0,4751200,COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA,47
NN=RLL`[P\(8.NP.1&BZO0,08455770000130,0,810099,EXTRACAO E BRITAMENTO DE PEDRAS E OUTROS MATERIAIS PARA CONSTRUCAO E BENEFICIAMENTO ASSOCIADO,8
"H@B7JT3&\)E=*""'ZMAC4Q.",74034307000140,0,4322302,COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA,43
BVUSU=OIG!%SL7CW%P1$;(,14672094000150,0,1629302,"FABRICACAO DE ARTEFATOS DIVERSOS DE CORTICA, BAMBU, PALHA, VIME E OUTROS MATERIAIS TRANCADOS, EXCETO MOVEIS",16
"AKBYC@EV4I,.X'Q2ED::).",02521644000150,0,4741500,COMERCIO VAREJISTA DE TINTAS E MATERIAIS PARA PINTURA,47
"F*<7*!9Z8A3_,62+@YY4C.",14133477000150,0,4923001,SERVICO DE TAXI,49
"O\Y=#-I!I-NC2$M4#,K+F*",06021074000190,0,4511102,"COMERCIO A VAREJO DE AUTOMOVEIS, CAMIONETAS E UTILITARIOS USADOS",45
"H,M'9ST<00;LVN/8[I@T(0",07784989000110,0,4712100,"COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS",47
"D?_T/@,[M5J4`9K68UL>D)",14550570000160,0,5611203,"LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES",56
"EQQ<7\[67""3&YA@!2*[-[#",14570622000160,0,8291100,ATIVIDADES DE COBRANCAS E INFORMACOES CADASTRAIS,82
"BCT,!Y^K""*G)<B*T%%=91+",01052752000240,0,8599601,FORMACAO DE CONDUTORES,85
BR<H!C$S-[Q28)L*08(Y_+,09353200000100,0,4774100,COMERCIO VAREJISTA DE ARTIGOS DE JOALHERIA,47
OXF\9X]8)J%5QE1/PCU<9%,09102759000150,0,4782201,COMERCIO VAREJISTA DE CALCADOS,47
"AIB]3Y&,4+&X_R@746;H3)",09310725000150,0,3250706,ATIVIDADE ODONTOLOGICA,32
"A'()%:J]!:,4QMYARA(>U!",08374337000170,0,113000,CRIACAO DE BOVINOS PARA CORTE,1
"H<4`-1""-.GV%\]&:K80H**",08225677000130,0,4330401,COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE,43
"MY=LX[BN4&QI:/#!G:)4`'",13865327000410,0,5611201,RESTAURANTES E SIMILARES,56
BBMFM0<8GGW70Y-G.T7H:!,15296818000170,0,1351100,"COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO",13
MC!=$;]1K3_7N6DP_<2_A*,08402134000140,0,151201,CRIACAO DE BOVINOS PARA CORTE,1
"N)XEZ4V^VB5KH5^C""?H>##",59121624000100,0,3329501,COMERCIO VAREJISTA DE MOVEIS,33
"L_E,:=L[=,F(8B5*HWP\3)",92112333000120,0,4744002,"COMERCIO VAREJISTA DE ARTIGOS DE TAPECARIA, CORTINAS E PERSIANAS",47
"FZ5\?\K*2$""6!B3P)+?N]-",08661339000140,0,6470101,"FUNDOS DE INVESTIMENTO, EXCETO PREVIDENCIARIOS E IMOBILIARIOS",64
F^%J/R*(8!KJ%2[3PZ!1[),14577061000120,0,8130300,ATIVIDADES PAISAGISTICAS,81
"K;Z<KBD\X^['GH@1;K2:R!",14797432000180,0,3511502,ATIVIDADES DE ADMINISTRACAO DE FUNDOS POR CONTRATO OU COMISSAO,35
"OW4TJX2]N-?@8+5[,CF8V'",16700845000120,0,9492800,ATIVIDADES DE ORGANIZACOES POLITICAS,94
JX_#5!^/K8.>R).NH@TAV+,14581505000100,0,4789001,"COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS",47
"C%QD#J*+L6$SV]1_^OO@$""",15309170000120,0,1020101,COMERCIO ATACADISTA DE PESCADOS E FRUTOS DO MAR,10
"BM^$""L[.$'-K:)L)XM)C2(",14384803000100,0,4924800,TRANSPORTE ESCOLAR,49
"C$8^Z)(2S00(2]!%#G*\8""",07104105000210,0,8599601,FORMACAO DE CONDUTORES,85
L.:5Z5-HRWRW@3Q!>T&I>%,15797920000150,0,1091102,FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA,10
L%F59/+TFPJ`%?V3+<;Y@),16294894000100,0,4530703,COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES,45
"J('CHLVF])[;VH1^H>D51*",53112561000300,0,4751200,COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA,47
"B9:)=\""R2)_A0GE[LS2""1)",12220507000130,0,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,47
K[+:$Z1.%1L@W5YQ+AK<?-,04904391000120,0,4754701,COMERCIO VAREJISTA DE MOVEIS,47
"M!>`XKKP.U,6AVA_4_</L.",03901079000110,0,4530703,COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES,45
"C`CJ;7T3`Q""@#6.O9AQ/G%",13876515000100,0,2063100,ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA,20
"KQ:8H2M8""-9DN;BHIS696&",00516281000130,0,9430800,ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE,94
"E[,+R=[8Q()J&T@49$3J2-",14823970000100,0,6511102,PLANOS DE AUXILIOFUNERAL,65
"C$R$TC8%B2&)TE7+:JS,_%",17001237000190,0,4110700,COMPRA E VENDA DE IMOVEIS PROPRIOS,41
C-)`FNS@R]AU+)=7P#G/2/,14045278000190,0,4772500,"ALUGUEL DE MOVEIS, UTENSILIOS E APARELHOS DE USO DOMESTICO E PESSOAL, INSTRUMENTOS MUSICAIS",47
"J]*(66&@Y,W)3\%M:$$WC&",11769325000150,0,8650002,ATIVIDADES DE PROFISSIONAIS DA NUTRICAO,86
"FF8978,*QC>*+B@EMZ8_E%",13649275000100,0,2330305,"ATIVIDADES RELACIONADAS A ESGOTO, EXCETO A GESTAO DE REDES",23
"DF=CC$`CV@WE#,-SK(+N<'",15375030000150,0,4399103,OBRAS DE ALVENARIA,43
"KC<@WXO?1G88Q/QYL%DKJ""",14830545000130,0,4781400,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,47
GX6O+MI.[O@-^RIZBN$W`$,15351613000140,0,4759801,"COMERCIO VAREJISTA DE ARTIGOS DE TAPECARIA, CORTINAS E PERSIANAS",47
AHPNC(!>0^&EA@@D*D%%B%,15359272000150,0,5811500,EDICAO DE JORNAIS DIARIOS,58
"KQ$UZ_QOT]\OTFL3Z1J/""#",09719436000100,0,1351100,ALUGUEL DE IMOVEIS PROPRIOS,13
"JU#E[N""Q:7B=A!_UTZ9LV&",13850287000190,0,5320202,SERVICOS DE ENTREGA RAPIDA,53
EG=9R694POTU$-:R5_$B`+,14023390000120,0,8291100,ATIVIDADES DE COBRANCAS E INFORMACOES CADASTRAIS,82
"N\>S^GUT.(8XJ4.AK.GG""0",00849004000300,0,4723700,COMERCIO VAREJISTA DE BEBIDAS,47
"L)Q:,#2F%PQ,$!$?0""MC0""",15971961000110,0,9492800,ATIVIDADES DE ORGANIZACOES POLITICAS,94
"J*@D<*HZUQ>6Q,GO*6J2G.",13658549000110,0,9329899,ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE,93
"MLT^P)BZ2B541609""ZA4#+",14312252000160,0,2539001,SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES,25
P2Y0&KD#+$-HE)*Q3FHFM),37564887000150,0,4212000,CONSTRUCAO DE OBRAS DE ARTE ESPECIAIS,42
"K5R)N#N/1/=_N>;(MH""RH$",10500306000160,0,8650003,ATIVIDADES DE FONOAUDIOLOGIA,86
"L+KFL0UEYG78'`T-P!2_:)",03583686000260,0,7020400,ADMINISTRACAO DE CAIXAS ESCOLARES,70
K]7O6+\H>WB6#M)9G*ER>),03619841000170,0,4330499,OUTRAS OBRAS DE ACABAMENTO DA CONSTRUCAO,43
LWA]&!EEF[;D1_)#Y\YW?*,01243305000430,0,4623199,COMERCIO ATACADISTA DE MATERIASPRIMAS AGRICOLAS NAO ESPECIFICADAS ANTERIORMENTE,46
"G@L5""A%!<04K3$)`)91J8!",01786092000140,0,4712100,"COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS",47
"M1%]FZ%,?93&`WHD`2@<E$",03937322000150,0,4723700,COMERCIO VAREJISTA DE BEBIDAS,47
"D0R[LUEG,DE82!MBOS;B5.",00799074000130,0,6920601,ATIVIDADES DE CONTABILIDADE,69
G;D57A1E9X9[?TFR*9NQ.&,16849377000150,0,4772500,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,47
"HX0""A>`D);3;>5H>10ABW)",03734601013790,0,4751200,COMERCIO VAREJISTA DE MOVEIS,47
"C12#SE)'&Q89*K%:NFX.')",14814432000140,0,4722901,COMERCIO VAREJISTA DE CARNES  ACOUGUES,47
"MCG5E!;$+8H?'D#';^,E6,",13871224000110,0,4322302,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,43
GM@_/4/WITA<)$4PG0*AI),94064649000110,0,1610201,SERRARIAS COM DESDOBRAMENTO DE MADEIRA,16
H`=8`B;E111M7<[S]C6>O),08360628000100,0,4120400,CONSTRUCAO DE EDIFICIOS,41
"E`X2V$#=E+1JGL[SQW%O#'",15156438000130,0,6821801,CORRETAGEM NA COMPRA E VENDA E AVALIACAO DE IMOVEIS,68
"P1R-C2:#5D,5&HX@&$0D%/",15160571000160,0,7119704,ATIVIDADES TECNICAS RELACIONADAS A ENGENHARIA E ARQUITETURA NAO ESPECIFICADAS ANTERIORMENTE,71
"B-KHR4*^'A:7R-90'OI)3'",10357393000220,0,4742300,ATIVIDADES DE LIMPEZA NAO ESPECIFICADAS ANTERIORMENTE,47
GN`*^YQS&_`/MZ%=K#7R4-,08925731000150,0,6619399,OUTRAS ATIVIDADES AUXILIARES DOS SERVICOS FINANCEIROS NAO ESPECIFICADAS ANTERIORMENTE,66
N\_9TLK0PXJ=R]AH^B:\>#,16053467000130,0,9492800,ATIVIDADES DE ORGANIZACOES POLITICAS,94
"E""WT-4BJPG+-^V56\?1M:$",14737392000180,0,4772500,ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA,47
"O%/)481<138#F`\:X""HJQ)",04569277000190,0,4789099,COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE,47
C^;F6%SS(>^VZMXWQKE?Z&,07921293000270,0,4755502,COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO,47
"B([&UF@K=U!O3WETS""=+\0",10944008000160,0,8211300,PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE,82
A:P<^W1&[(C2E_3MLW5JR#,05582594000100,0,6821801,CORRETAGEM NA COMPRA E VENDA E AVALIACAO DE IMOVEIS,68
"O(\_K'N-\NLWRR*5,*G>N""",01051495000140,0,4619200,REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MERCADORIAS EM GERAL NAO ESPECIALIZADO,46
